,How much,What,When,Where
1,,Martin Brygmann med Band & Danmarks Underholdningsorkester.,"Fri 16 March 2018, 8 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
2,(Entrance fee: 100 DKK),Steffen Jungersen - Rock & RÃ¸verhistorier.,"Fri 16 March 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
3,(Entrance fee: Kr 30),Ramslag Folkets Hus Spillefolk.,"Fri 16 March 2018, 8 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
4,(Free admission),Sangaften med fremtidens stjerner pÃ¥ MGK.,"Fri 16 March 2018, 8 pm.","MusikhÃ¸jskolen, Smallegade 12, Frederiksberg"
5,"(Entrance fee: 130,00 DKK)",Souvenirs.,"Fri 16 March 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
6,"(Entrance fee: 175,00 DKK)",Blondage.,"Fri 16 March 2018, 8 pm.","Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K"
7,(Entrance fee: Forsalg: 70 - 90 DKK // I dÃ¸ren: 90 - 110 DKK),Sonja Hald.,"Fri 16 March 2018, 9 pm.","Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV"
8,"(Entrance fee: 620,00 dkk - 820,00 dkk)",SÃ¸s Fenger.,"Sat 17 March 2018, 7 pm.","Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg"
9,"(Entrance fee: 245,00 DKK)",Tonight Alive.,"Sat 17 March 2018, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
10,(Entrance fee: 175 DKK),Blues Beatles (BR).,"Sat 17 March 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
11,"(Entrance fee: 270,00 DKK)",Queen Machine.,"Sat 17 March 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
12,(Entrance fee: 40 DKK),Det Ãbne Hus spiller op til folkedans pÃ¥ Stades Krog 9.,"Sat 17 March 2018, 8 pm.","Lyngby SognegÃ¥rd, Stades Krog 9, Kongens Lyngby"
13,(Entrance fee: 160 DKK. + Gebyr / 180 DKK. i dÃ¸ren),Dobbeltkoncert: Niels Skousen og Kristina Holgersen.,"Sat 17 March 2018, 8 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
14,(Entrance fee: 175 DKK),Andreas Bo med band - Akustisk koncert.,"Sat 17 March 2018, 8 pm.","Herlev Teaterbio, Herlev Bygade 30, Herlev"
15,"(Entrance fee: 455,00 DKK)",Sort Sol.,"Sat 17 March 2018, 8 pm.","Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C"
16,"(Entrance fee: 200,00 DKK)",Frank Carter & The Rattlesnakes (UK).,"Sat 17 March 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
17,(Entrance fee: 495 - 695 DKK),D'Angelo.,"Sat 17 March 2018, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
18,"(Entrance fee: 175,00 DKK)",Tom Misch (live) (uk) - Flyttet.,"Sat 17 March 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
19,(Entrance fee: 90 DKK. medlemmer af Venneforening 50 DKK),1/2 12 Koncerter.,"Sun 18 March 2018, 11.30 am.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
0,(Entrance fee: 110 DKK),Jazz Menu - ForÃ¥r 2018.,"Sun 18 March 2018, 1 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
1,(Entrance fee: 140 - 175 DKK),Musikken fra Cirkus Summarum.,"Sun 18 March 2018, 1 pm  & 3 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
2,(Entrance fee: 165 DKK),Lakha Khan.,"Sun 18 March 2018, 3 pm.","Galaksen, Bymidten 48, VÃ¦rlÃ¸se"
3,,Koncert: Flamenco Requiem med Vokalgruppen Kolorit.,"Sun 18 March 2018, 3 pm  - 4.30 pm.","Lundehus Kirke, StrÃ¸damvej 1, Copenhagen Ã"
4,(Entrance fee: 85 - 150 DKK),Passionskoncert.,"Sun 18 March 2018, 4 pm.","Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K"
5,,Bach og Bibelen.,"Sun 18 March 2018, 4 pm  - 5 pm.","Mariendals Kirke, Nitivej 17, Frederiksberg"
6,(Free admission),PalÃ¦ Bar Jazz.,"Sun 18 March 2018, 5 pm  - 8 pm.","PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K"
7,"(Entrance fee: 140,00 DKK)",Ace Tee & Kwam.e (DE).,"Sun 18 March 2018, 8 pm.","Ideal Bar, Enghavevej 40, Copenhagen V"
8,(Entrance fee: 345 - 395 DKK),Apocalyptica.,"Sun 18 March 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
9,(Entrance fee: 230 DKK),Jamie Lawson.,"Sun 18 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
10,"(Entrance fee: 450,00 DKK)",Michael Mcdonald - Udsolgt.,"Sun 18 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
11,"(Entrance fee: 390,00 dkk - 610,00 dkk)",Harry Styles.,"Mon 19 March 2018, 8 pm.","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
12,(Entrance fee: 140 DKK + evt. gebyr),Skotsk Irsk Musikscene.,"Tues 20 March 2018, 7.30 pm.","Baltoppen Live, Baltorpvej 20, Ballerup"
13,"(Entrance fee: 170,00 DKK)",Noah Gundersen (US).,"Tues 20 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
14,(Entrance fee: 370 - 470 DKK),Level 42.,"Tues 20 March 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
15,(Free admission),Onsdags-jazz pÃ¥ Lipperts.,"Wed 21 March 2018, 6 pm.","Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup"
16,,Passionsspil Sankt AnnÃ¦ Skole.,"Wed 21 March 2018, 7 pm  - 10 pm.","Solvang Kirke, Remisevej 10-12, Copenhagen S"
17,(Entrance fee: Ikke-medlemmer 130 DKK.1),"Kammermusikforeningen af 1911, Poseidon Kvartetten m. gÃ¦st.","Wed 21 March 2018, 7.30 pm.","Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K"
18,(Free admission),Debutkoncert - Victor SÃ¸rensen.,"Wed 21 March 2018, 7.30 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
19,(Entrance fee: 140 DKK + evt. gebyr),Esko JÃ¤rvelÃ¤ Epic Male Band.,"Wed 21 March 2018, 8 pm.","Baltoppen Live, Baltorpvej 20, Ballerup"
0,"(Entrance fee: 115,00 DKK)",Bearcubs (uk) - Flyttet.,"Wed 21 March 2018, 8 pm.","Ideal Bar, Enghavevej 40, Copenhagen V"
1,"(Entrance fee: 245,00 DKK)",Desiigner (US).,"Wed 21 March 2018, 8 pm.","Den GrÃ¥ Hal, Christiania, Refshalevej 2, Copenhagen K"
2,(Entrance fee: 140 DKK),Pinegrove + special guest Phoebe Bridgers.,"Wed 21 March 2018, 8.30 pm.","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
3,"(Entrance fee: 165,00 DKK)",Hugo Helmig (DK).,"Wed 21 March 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
4,,"ALL SWING & BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Thur 22 March 2018, 7 pm  - 9 pm.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K"
5,(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.),Generalforsamling.,"Thur 22 March 2018, 7 pm  - 10 pm.","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg"
6,(Free admission),Syng Sammen Aften.,"Thur 22 March 2018, 7.30 pm.","Rheumhus, Albjergparken 4, BrÃ¸ndby Strand"
7,,Rose Room Dixie.,"Thur 22 March 2018, 7.30 pm.","Jonstruphus, Jonstrupvangvej 159, VÃ¦rlÃ¸se"
8,,PÃ¥skekoncert med Gospelkor.,"Thur 22 March 2018, 7.30 pm  - 8.45 pm.","Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V"
9,(Entrance fee: 370 DKK),Burhan G.,"Thur 22 March 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
10,(Entrance fee),Barbara Moleko trio.,"Thur 22 March 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
11,"(Entrance fee: 355,00 DKK)",Trivium + support.,"Thur 22 March 2018, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
12,(Entrance fee: 210-410 DKK + evt. gebyr),CPHPHIL Tre gange 1. symfoni.,"Fri 23 March 2018, 7.30 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
13,(Entrance fee: 250 DKK),Scarlet Pleasure.,"Fri 23 March 2018, 8 pm.","Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C"
14,(Entrance fee: 225 DKK),TÃ¸rfisk.,"Fri 23 March 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
15,"(Entrance fee: 295,00 DKK)",Michael Falch - Solo - Udsolgt!,"Fri 23 March 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
16,,StÃ¸ttekoncert SÃ¸ren Sebber & Lune Carlsen.,"Fri 23 March 2018, 8 pm.","Glostrup Bio, BryggergÃ¥rdsvej 2, Glostrup"
17,(Entrance fee: 170 - 420 DKK),DR Big Band prÃ¦senterer Lisa Nilsson - Jazz og hits.,"Fri 23 March 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
18,"(Entrance fee: 200,00 DKK)",Whomadewho (dk).,"Fri 23 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
19,(Entrance fee: 100/140),Route 66 - 60'er musik - Dreamers.,"Fri 23 March 2018, 8.30 pm  - kl. 00.30.","EllegÃ¥rden, Stavnsholtvej 168, Farum"
0,"(Entrance fee: 165,00 DKK)",De Danske Hyrder (DK).,"Fri 23 March 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
1,"(Entrance fee: 200,00 DKK)",Bach - Johannespassion.,"Sat 24 March 2018, 3 pm.","Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K"
2,(Free admission),Koncertserien 24 - koncerter med unge talenter.,"Sat 24 March 2018, 4 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
3,(Entrance fee: 170 - 420 DKK),DR Big Band prÃ¦senterer Lisa Nilsson - Jazz og hits.,"Sat 24 March 2018, 4 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
4,(Entrance fee),Bachs Johannespassion med KantateKoret.,"Sat 24 March 2018, 4 pm  - 6 pm.","Holmens Kirke, Holmens Kanal 21, Copenhagen K"
5,"(Entrance fee: 265,00 DKK)",BjÃ¸rn EidsvÃ¥g.,"Sat 24 March 2018, 5 pm.","Christians Kirke, Strandgade 1, Copenhagen K"
6,(Entrance fee: 125 DKK),Select Captain / Kajsa Vala.,"Sat 24 March 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
7,(Entrance fee: 220 DKK),Go Go Berlin.,"Sat 24 March 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
8,"(Entrance fee: 250,00 DKK)",Kesi (DK).,"Sat 24 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
9,(Entrance fee: 200 DKK),Rejjie Snow.,"Sat 24 March 2018, 9 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
10,(Free admission),Koncert i SolgÃ¥rdens CafÃ©.,"Sun 25 March 2018, 2.30 pm.","SolgÃ¥rden plejehjem, Virumvej 125, Virum"
11,(Entrance fee: 295 - 345 DKK),Caroline Henderson.,"Sun 25 March 2018, 4 pm  & 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
12,,Passions - og pÃ¥skekoncert.,"Sun 25 March 2018, 4 pm  - 5 pm.","HÃ¸jdevangskirken, Irlandsvej 45, Copenhagen S"
13,,Bachs Johannespassion med KÃ¸benhavns Kantatekor.,"Sun 25 March 2018, 4 pm  - 6.30 pm.","Store Magleby Kirke, Kirkevej 2, DragÃ¸r"
14,"(Entrance fee: 495,00 dkk - 650,00 dkk)",Gregory Porter - FÃ¥ Billetter.,"Sun 25 March 2018, 8 pm.","Operaen, Ekvipagemestervej 10, Copenhagen K"
15,(Entrance fee: 120),Series of Four - Khachatryan.,"Mon 26 March 2018, 7.30 pm.","Det Kongelige Danske Musikkonservatorium (DKDM), RosenÃ¸rns AllÃ© 22, Frederiksberg C"
16,(Entrance fee:,Brockespassionen / Concerto Copenhagen.,"Tues 27 March 2018, 8 pm.","Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K"
17,,Rhye.,"Tues 27 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
18,"(Entrance fee: 250,00 DKK)",Editors (UK).,"Wed 28 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
19,(Entrance fee: 310 DKK),Majid Jordan.,"Wed 28 March 2018, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
0,(Entrance fee: 60 - 407 DKK),Lukas-passionen.,"Thur 29 March 2018, 7.30 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
1,"(Entrance fee: 240,00 DKK)",Turboweekend.,"Thur 29 March 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
2,"(Entrance fee: 250,00 DKK)",Carl Emil Petersen.,"Thur 29 March 2018, 8 pm.","Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K"
3,,Tune-Yards (US).,"Thur 29 March 2018, 9 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
4,(Entrance fee: 195 - 320 DKK),Folkeklubben - En akustisk aften i Folkeklubben.,"Fri 30 March 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
5,"(Entrance fee: 250,00 DKK)",Carl Emil Petersen.,"Fri 30 March 2018, 8 pm.","Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K"
6,(Entrance fee: 230 DKK),Carpenter Brut.,"Fri 30 March 2018, 9 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
7,(Entrance fee: 149 DKK + evt. gebyr),De Danske Hyrder.,"Fri 30 March 2018, 9 pm.","ForbrÃ¦ndingen, Vognporten 11, Albertslund"
8,,PÃ¥skemestervÃ¦rk af Joseph Haydn.,"Sat 31 March 2018, 12.30 am  - 1.30 pm.","Flintholm Kirke, Junggreensvej 14, Frederiksberg"
9,"(Entrance fee: 245,00 DKK)",Dvsn.,"Sat 31 March 2018, 9 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
10,(Entrance fee: 140 DKK + evt. gebyr),Barluath.,"Tues 3 April 2018, 7.30 pm.","Baltoppen Live, Baltorpvej 20, Ballerup"
11,"(Entrance fee: 185,00 DKK)",Julie Bergan (no) - Flyttet.,"Tues 3 April 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
12,(Free admission),Jam-session pÃ¥ Lipperts.,"Wed 4 April 2018, 6 pm.","Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup"
13,(Entrance fee: 55 DKK),Stephanie Maria (50/50 koncert).,"Wed 4 April 2018, 7.30 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
14,(Entrance fee: 140 DKK + evt. gebyr),Helene Blum Harald Haugaard Band.,"Wed 4 April 2018, 8 pm.","Baltoppen Live, Baltorpvej 20, Ballerup"
15,(Entrance fee: 220 - 270 DKK),Ida Corr.,"Wed 4 April 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
16,,Fever ray.,"Wed 4 April 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
17,,3 i 1 Koncert.,"Wed 4 April 2018, 8 pm  - 9 pm.","Sundby Kirke, Amagerbrogade 71, Copenhagen S"
18,(Entrance fee: 85 - 497 DKK),Patricia Petibon.,"Thur 5 April 2018, 7.30 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
19,"(Entrance fee: 220,00 DKK)",Saveus (DK).,"Thur 5 April 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
0,(Entrance fee: 250 DKK),Tom Paxton & The DonJuans.,"Thur 5 April 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
1,"(Entrance fee: 205,00 DKK)",Avatar.,"Thur 5 April 2018, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
2,"(Entrance fee: 175,00 DKK)",Young Flowers - 50 Ã¥rs jubilÃ¦umsturnÃ©.,"Fri 6 April 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
3,(Entrance fee: 195 DKK),Pligten Kalder.,"Fri 6 April 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
4,(Entrance fee: 225 DKK + evt. gebyr),Kasper Winding.,"Fri 6 April 2018, 8 pm.","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
5,"(Entrance fee: 300,00 DKK)",Clemens - Den Anden Verden (DK).,"Fri 6 April 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
6,"(Entrance fee: Entre billet 200 DKK, Entre + Jazzmenu 350 DKK)",Halberg & Friends.,"Fri 6 April 2018, 9 pm.","EllegÃ¥rden, Stavnsholtvej 168, Farum"
7,(Entrance fee: 275 DKK),Jesper Binzer.,"Fri 6 April 2018, 9 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
8,(Entrance fee: 195 DKK + gebyr i forslag - 225 DKK i dÃ¸ren),Ida Nielsen Med Band.,"Fri 6 April 2018, 9 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
9,(Entrance fee: 195 DKK + evt. gebyr),Benal.,"Fri 6 April 2018, 9 pm.","ForbrÃ¦ndingen, Vognporten 11, Albertslund"
10,(Entrance fee: unummererede 175 DKK),Stig Rossen & Vennerne.,"Sat 7 April 2018, 1.30 pm.","Danske Seniorer, Griffenfeldsgade 58, Copenhagen N"
11,,De SkÃ¸nneste Kor.,"Sat 7 April 2018, 3 pm  & 5 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
12,(Entrance fee: 295 DKK),"Riel/pasborg ""universe"" Feat. Annisette, Jobarteh M.fl.","Sat 7 April 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
13,"(Entrance fee: 175,00 DKK)",Persefone (AD).,"Sat 7 April 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
14,"(Entrance fee: 160,00 DKK)",The van.,"Sat 7 April 2018, 9 pm.","Templet, Jernbanevej 16, Kongens Lyngby"
15,,Miss Sway.,"Sun 8 April 2018, 12 am.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
16,(Entrance fee: 110 DKK),Jazz Menu - ForÃ¥r 2018.,"Sun 8 April 2018, 1 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
17,(Entrance fee: 50 DKK.),SÃ¸ndagsbal med RÃ¸dovre Palmehaveorkester.,"Sun 8 April 2018, 2 pm  - 5 pm.","RÃ¸dovregaard, Kirkesvinget 1, RÃ¸dovre"
18,,Din Danske Sang.,"Sun 8 April 2018, 3 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
19,"(Entrance fee: 100,-/70,-)",Nulle og Verdesnorkestret.,"Sun 8 April 2018, 3 pm.","SofiekÃ¦lderen, Overgaden Oven Vandet 32, Copenhagen K"
0,,Violin- og orgelkoncert.,"Sun 8 April 2018, 4 pm  - 5 pm.","Mariendals Kirke, Nitivej 17, Frederiksberg"
1,,Klaverduo Kolarova-Gryesten.,"Sun 8 April 2018, 4 pm  - 5.30 pm.","Store Magleby Kirke, Kirkevej 2, DragÃ¸r"
2,(Free admission),PalÃ¦ Bar Jazz.,"Sun 8 April 2018, 5 pm  - 8 pm.","PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K"
3,(Entrance fee: 425 DKK),Slick Rick.,"Mon 9 April 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
4,"(Entrance fee: 365,00 DKK)",The Simon & Garfunkel Story.,"Wed 11 April 2018, 7.30 pm.","MusikTeatret Albertslund, Bibliotekstorvet 1-3, Albertslund"
5,(Entrance fee: 225 DKK),Ivan Pedersen & Trio.,"Wed 11 April 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
6,"(Entrance fee: 220,00 DKK)",Anne-marie.,"Wed 11 April 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
7,(Entrance fee: 185 DKK + evt. gebyr),Chris Minh Doky.,"Wed 11 April 2018, 8 pm.","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
8,"(Entrance fee: 165,00 DKK)",Peter Broderick (US).,"Wed 11 April 2018, 8 pm.","Ideal Bar, Enghavevej 40, Copenhagen V"
9,"(Entrance fee: DKK 418,- inklusiv tapas)",Julie Berthelsen - Fra radioen til Beghusets skrÃ¥ brÃ¦dder.,"Thur 12 April 2018, 6 pm.","Restaurant Beghuset, Strandgade 14, DragÃ¸r"
10,(Entrance fee: 125 DKK),Charlotte Fich: TÃ¦t pÃ¥ musikken.,"Thur 12 April 2018, 7.30 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
11,(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.),Den nye sangskat.,"Thur 12 April 2018, 7.30 pm  - 10 pm.","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg"
12,(Entrance fee: 270 DKK),Hanne Boel.,"Thur 12 April 2018, 8 pm.","Galaksen, Bymidten 48, VÃ¦rlÃ¸se"
13,(Entrance fee),Saveus.,"Thur 12 April 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
14,"(Entrance fee: 225,00 DKK)",Benal (dk) - FÃ¥ Billetter.,"Thur 12 April 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
15,(Entrance fee: 120kr. + gebyr i forsalg - 130kr. i dÃ¸ren),Uffe Steen Trio og Vestbo Trio.,"Thur 12 April 2018, 8.30 pm  - 11 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
16,"(Entrance fee: 160,00 DKK)",Courtney Marie Andrews (US).,"Thur 12 April 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
17,(Entrance fee: 85 - 497 DKK),Macelaru & Joshua Bell.,"Fri 13 April 2018, 7.30 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
18,(Entrance fee: Kr 30),Ramslag Folkets Hus Spillefolk.,"Fri 13 April 2018, 8 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
19,(Entrance fee: 195 DKK),Maria Montell.,"Fri 13 April 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
0,(Entrance fee: 100 DKK),Copenhagen Latin Festival 2017.,"Sat 25 November 2017, 8 pm  - 2.30 am.","BlÃ¥gÃ¥rden, StÃ¸beriet, BlÃ¥gÃ¥rds Plads 5, Copenhagen N"
1,,Rust Live.,"Sat 25 November 2017, 8.30 pm.","Rust, Guldbergsgade 8, Copenhagen N"
2,"(Entrance fee: 95,00 DKK)",Heidra + GenfÃ¦rd + Cruelty's Heart.,"Sat 25 November 2017, 8.30 pm.","Beta, Ãresundsvej 6, Copenhagen S"
3,(Entrance fee: 70 DKK. inkl. gebyr),Late Night Venture + The Foreign Resort + A Horrible Death To A Horrible Man.,"Sat 25 November 2017, 8.30 pm.","Kulturstationen VanlÃ¸se, Frode Jakobsens Plads 4 / Jernbane AllÃ© 38, VanlÃ¸se"
4,(Entrance fee: 95 DKK),Get Your Gun pÃ¥ Loppen.,"Sat 25 November 2017, 9 pm.","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
5,"(Entrance fee: 200,00 DKK)",Jon NÃ¸rgaard.,"Sat 25 November 2017, 9 pm.","Amager Bio, Ãresundsvej 6, Copenhagen S"
6,(Entrance fee: 230 DKK),Milky Chance.,"Sat 25 November 2017, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
7,(Entrance fee: 190 DKK),Marvelous Mosell.,"Sat 25 November 2017, 9 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
8,(Entrance fee: 100 DKK),Moddi (NO).,"Sat 25 November 2017, 9 pm.","Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N"
9,(Entrance fee: 50 DKK.),"""Noche Cubana"" i RÃ¥huset m/DJ Rene.","Sat 25 November 2017, 9 pm.","Onkel Dannys Plads, Onkel Dannys Plads 1-9, Copenhagen V"
10,"(Entrance fee: 100,00 DKK)",Temple Of Doom PrÃ¦senterer: The Good the Bad and the Zugly+Nightfever.,"Sat 25 November 2017, 9 pm.","Templet, Jernbanevej 16, Kongens Lyngby"
11,(Entrance fee: 99 DKK + evt. gebyr),Hold KÃ¦ft Og Rap #3.,"Sat 25 November 2017, 9 pm.","ForbrÃ¦ndingen, Vognporten 11, Albertslund"
12,(Entrance fee: EntrÃ© efter kl. 21:00 100 DKK),Single Rocks store Julefest med band efter 21:00.,"Sat 25 November 2017, 9 pm.","CafÃ© Ae, Frederikssundsvej 7, Copenhagen NV"
13,(Entrance fee),Whole Lotta Hank - Hank Williams Evergreens.,"Sat 25 November 2017, 9 pm.","Bartof Cafe, Nordre Fasanvej 46, Frederiksberg"
14,(Entrance fee: 80),Trouble Cats.,"Sat 25 November 2017, 10 pm.","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
15,(Entrance fee: 60 DKK.),Bobby Bovell & the public secret.,"Sat 25 November 2017, 10 pm  - 4 am.","Operaen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
16,,Wavy.,"Sat 25 November 2017, 11 pm.","Rust, Guldbergsgade 8, Copenhagen N"
17,(Entrance fee: 90 DKK. medlemmer af Venneforening 50 DKK),1/2 12 Koncerter.,"Sun 26 November 2017, 11.30 am.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
