,How much,What,When,Where
14,(Entrance fee: 170 - 420 DKK),DR Big Band prÃ¦senterer Palle Mikkelborg - Once Upon a Time.Before.,"Sat 3 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
15,(Entrance fee: Billetter 150 DKK),Funk Delicious.,"Sat 3 February 2018, 8 pm.","Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby"
16,(Entrance fee: 430 DKK),Khalid.,"Sat 3 February 2018, 8 pm.","TAP1, Raffinaderivej 10, Copenhagen S"
17,(Entrance fee: 170 DKK + evt. gebyr),Bryan Rice.,"Sat 3 February 2018, 8 pm.","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
18,(Entrance fee: 190 DKK),Lord Huron (us).,"Sat 3 February 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
19,(Entrance fee: 270-310 DKK + evt. gebyr),CPHPHIL 60 minutes of Nikolaj NÃ¸rlund.,"Sat 3 February 2018, 9 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
0,(Free admission),Gladsaxe Folkekor i Natkirken.,"Fri 24 November 2017, 9 pm.","Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K"
1,(Entrance fee: 90 DKK),Nubiyan Twist (UK).,"Fri 24 November 2017, 9 pm.","Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N"
2,"(Entrance fee: 140,00 DKK)",Katinka.,"Fri 24 November 2017, 9 pm.","Templet, Jernbanevej 16, Kongens Lyngby"
3,(Entrance fee: 160 DKK),Lorenzo Woodrose.,"Fri 24 November 2017, 9 pm.","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
4,(Entrance fee: 140 DKK),Solbrud + Orm.,"Fri 24 November 2017, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
5,(Entrance fee),Sex Swing (uk) + Support: Tba.,"Fri 24 November 2017, 9 pm.","Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K"
6,"(Entrance fee: 95,00 DKK)",Faithful Darkness (SE) + Support Caro.,"Fri 24 November 2017, 9 pm.","Beta, Ãresundsvej 6, Copenhagen S"
